0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
1,Luka Dončić,26,LAL,PG,62,62,36.0,10.9,22.9,.476,4.0,10.9,.366,6.9,12.0,.576,.563,7.9,10.1,.776,0.7,7.2,7.8,8.2,1.6,0.5,4.0,2.4,33.7,AS,2026
2,Shai Gilgeous-Alexander,27,OKC,PG,63,63,33.4,10.8,19.6,.551,1.7,4.4,.379,9.1,15.2,.602,.594,8.1,9.2,.882,0.5,3.8,4.3,6.5,1.4,0.8,2.2,2.1,31.4,AS,2026
3,Anthony Edwards,24,MIN,SG,58,58,35.5,10.1,20.5,.492,3.4,8.6,.402,6.6,11.9,.556,.576,5.9,7.4,.796,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.9,29.5,AS,2026
4,Tyrese Maxey,25,PHI,PG,62,62,38.3,10.1,21.8,.462,3.3,8.8,.374,6.8,13.0,.522,.538,5.4,6.1,.891,0.3,3.9,4.2,6.7,2.0,0.8,2.5,2.2,28.9,AS,2026
5,Jaylen Brown,29,BOS,SF,65,65,34.3,10.3,21.6,.477,1.9,5.6,.342,8.4,16.0,.524,.522,6.0,7.5,.802,1.2,5.9,7.0,5.2,1.0,0.4,3.6,2.7,28.6,AS,2026
6,Kawhi Leonard,34,LAC,SF,59,59,32.0,9.8,19.5,.503,2.6,6.9,.384,7.2,12.6,.568,.571,5.9,6.5,.899,1.1,5.3,6.3,3.6,1.9,0.4,2.1,1.3,28.2,AS,2026
7,Nikola Jokić,30,DEN,C,60,60,34.9,10.0,17.4,.573,1.8,4.7,.388,8.2,12.8,.641,.625,6.1,7.4,.828,2.9,10.0,12.9,10.8,1.4,0.8,3.8,2.8,27.9,AS,2026
8,Donovan Mitchell,29,CLE,SG,65,65,33.5,9.7,20.2,.478,3.3,9.0,.365,6.4,11.2,.570,.560,5.3,6.1,.859,0.7,3.8,4.5,5.8,1.5,0.3,2.8,2.4,27.9,AS,2026
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,.624,0.4,1.3,.333,9.9,15.4,.647,.636,6.4,9.9,.650,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,2026
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,2026
11,Joel Embiid,31,PHI,C,35,35,31.2,9.1,18.2,.498,1.4,4.0,.340,7.7,14.1,.543,.536,7.4,8.7,.855,1.9,5.5,7.5,4.0,0.6,1.1,2.9,2.1,26.9,,2026
12,Lauri Markkanen,28,UTA,PF,42,42,34.4,9.1,19.2,.477,2.7,7.7,.355,6.4,11.5,.559,.548,5.7,6.4,.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,,2026
13,Jalen Brunson,29,NYK,PG,69,69,35.0,9.3,20.1,.466,2.7,7.2,.373,6.7,12.8,.518,.533,4.9,5.8,.843,0.4,2.9,3.4,6.7,0.8,0.1,2.4,2.3,26.3,AS,2026
14,Kevin Durant,37,HOU,SF,71,71,36.4,9.2,17.7,.517,2.4,5.8,.406,6.8,11.9,.571,.584,5.2,5.9,.879,0.5,4.9,5.4,4.6,0.9,0.9,3.2,1.8,25.9,AS,2026
15,Devin Booker,29,PHO,SG,58,58,33.4,8.3,18.5,.452,1.8,5.7,.320,6.5,12.8,.511,.501,7.0,8.0,.869,0.8,3.1,3.9,6.0,0.8,0.3,3.2,2.6,25.5,AS,2026
16,Jamal Murray,28,DEN,PG,71,71,35.2,8.8,18.2,.484,3.2,7.4,.428,5.6,10.8,.522,.571,4.7,5.3,.884,0.4,4.0,4.4,7.2,0.9,0.4,2.3,1.7,25.5,AS,2026
17,Cade Cunningham,24,DET,PG,61,61,34.4,8.7,18.9,.461,2.0,5.8,.346,6.7,13.1,.513,.515,5.1,6.2,.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,AS,2026
18,Michael Porter Jr.,27,BRK,SF,52,52,32.5,8.5,18.4,.463,3.4,9.3,.363,5.2,9.1,.567,.555,3.8,4.4,.859,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,24.2,,2026
19,Victor Wembanyama,22,SAS,C,59,50,29.2,8.3,16.6,.501,1.9,5.5,.348,6.4,11.2,.576,.558,5.6,6.9,.820,2.0,9.3,11.3,3.0,1.1,3.1,2.5,2.5,24.2,AS,2026
20,James Harden,36,2TM,PG,64,64,35.0,7.0,16.2,.434,3.1,8.3,.374,3.9,7.9,.497,.529,6.8,7.7,.886,0.6,4.4,5.0,8.1,1.1,0.4,3.6,2.0,24.0,,2026
20,James Harden,36,LAC,PG,44,44,35.4,7.3,17.5,.419,3.1,8.8,.347,4.3,8.7,.492,.506,7.7,8.5,.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,,2026
20,James Harden,36,CLE,PG,20,20,34.2,6.4,13.3,.477,3.2,7.1,.447,3.2,6.3,.512,.596,5.0,5.9,.839,0.6,4.8,5.4,8.1,0.8,0.5,3.3,2.3,20.8,,2026
21,Deni Avdija,25,POR,SF,60,60,33.1,7.3,15.9,.459,1.9,6.0,.318,5.4,10.0,.543,.518,7.3,9.2,.797,1.2,5.8,6.9,6.7,0.8,0.6,3.9,2.5,23.8,AS,2026
22,Pascal Siakam,31,IND,PF,60,60,33.4,8.9,18.6,.480,1.7,4.8,.358,7.2,13.8,.522,.526,4.3,6.2,.692,1.5,5.2,6.7,3.8,1.1,0.4,2.3,2.4,23.8,AS,2026
23,Keyonte George,22,UTA,PG,54,54,33.1,7.4,16.3,.456,2.5,6.7,.371,5.0,9.6,.515,.532,6.2,7.0,.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,,2026
24,Austin Reaves,27,LAL,SG,48,42,34.8,7.5,15.1,.493,2.4,6.5,.365,5.1,8.6,.589,.572,6.3,7.3,.866,0.6,4.1,4.7,5.5,1.1,0.4,2.9,2.2,23.6,,2026
25,Jalen Johnson,24,ATL,SF,66,66,35.4,8.5,17.3,.493,1.7,4.8,.353,6.8,12.4,.547,.542,4.2,5.4,.786,1.4,8.8,10.2,8.1,1.3,0.5,3.4,2.0,22.9,AS,2026
26,Paolo Banchero,23,ORL,PF,64,64,35.0,7.5,16.3,.459,1.2,4.0,.310,6.3,12.4,.507,.497,6.4,8.2,.782,1.2,7.1,8.3,5.1,0.7,0.6,3.0,1.9,22.6,,2026
27,Norman Powell,32,MIA,SG,55,52,30.1,7.4,15.7,.473,2.7,7.1,.384,4.7,8.5,.547,.560,4.5,5.5,.825,0.4,3.2,3.6,2.6,1.1,0.3,1.9,2.3,22.1,AS,2026
28,Trey Murphy III,25,NOP,SF,64,64,35.5,7.5,16.0,.471,3.3,8.7,.383,4.2,7.3,.574,.574,3.3,3.8,.883,1.0,4.7,5.7,3.8,1.5,0.3,1.8,2.1,21.7,,2026
29,Brandon Ingram,28,TOR,SF,70,70,34.0,8.0,16.9,.471,1.8,4.7,.378,6.2,12.2,.506,.523,3.7,4.5,.817,0.8,4.8,5.6,3.7,0.8,0.7,2.5,1.9,21.4,AS,2026
30,Shaedon Sharpe,22,POR,SG,48,42,30.0,8.0,17.6,.456,2.1,6.2,.340,5.9,11.5,.518,.515,3.2,4.0,.784,1.0,3.4,4.4,2.6,1.4,0.1,3.0,2.0,21.4,,2026
31,Tyler Herro,26,MIA,SG,28,23,31.1,7.8,16.0,.485,2.6,6.7,.385,5.2,9.3,.558,.566,3.2,3.4,.937,0.5,4.2,4.7,3.9,0.8,0.3,1.9,1.7,21.3,,2026
32,Franz Wagner,24,ORL,SF,28,26,31.8,7.3,15.3,.479,1.5,4.1,.365,5.8,11.2,.521,.528,5.1,6.2,.828,1.5,4.3,5.8,3.6,1.1,0.3,1.7,2.3,21.3,,2026
33,Zion Williamson,25,NOP,PF,59,52,29.7,8.0,13.2,.604,0.0,0.1,.250,7.9,13.1,.606,.605,5.4,7.5,.712,2.1,3.7,5.7,3.2,1.0,0.5,2.0,2.3,21.3,,2026
34,Dillon Brooks,30,PHO,SF,50,50,30.6,7.7,17.4,.440,2.3,6.8,.343,5.3,10.6,.502,.507,3.2,3.8,.856,0.8,2.9,3.7,1.8,1.0,0.2,1.8,3.3,20.9,,2026
35,LeBron James,41,LAL,SF,53,53,33.6,7.9,15.4,.512,1.3,4.1,.313,6.6,11.3,.584,.554,3.8,5.1,.743,0.8,5.2,6.0,6.9,1.1,0.6,2.9,1.4,20.9,AS,2026
36,Julius Randle,31,MIN,PF,74,74,33.1,7.3,15.3,.475,1.3,4.4,.307,5.9,11.0,.543,.519,5.0,6.2,.814,1.7,5.2,6.8,5.1,1.1,0.2,2.8,2.9,20.9,,2026
37,Jayson Tatum,27,BOS,PF,11,11,31.0,7.2,18.0,.399,2.9,9.0,.323,4.3,9.0,.475,.480,3.6,4.4,.833,0.6,8.5,9.1,4.2,1.1,0.2,2.0,1.5,20.9,,2026
38,Alperen Şengün,23,HOU,C,65,65,33.6,8.2,15.9,.516,0.6,1.8,.305,7.6,14.1,.544,.534,3.7,5.4,.687,3.0,6.0,9.0,6.2,1.2,1.1,3.2,3.2,20.7,AS,2026
39,Nickeil Alexander-Walker,27,ATL,SG,72,65,33.2,6.9,15.2,.451,3.1,8.0,.391,3.7,7.2,.516,.553,3.6,4.0,.903,0.7,2.8,3.5,3.8,1.3,0.5,2.1,2.2,20.5,,2026
40,Anthony Davis,32,DAL,PF,20,20,31.3,8.5,16.7,.506,0.5,1.9,.270,8.0,14.9,.535,.521,3.0,4.1,.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,,2026
41,Cooper Flagg,19,DAL,SF,62,62,33.9,7.8,16.5,.474,1.0,3.4,.286,6.9,13.1,.523,.503,3.8,4.7,.814,1.2,5.4,6.6,4.6,1.2,0.9,2.4,2.1,20.4,,2026
42,Desmond Bane,27,ORL,SG,74,74,34.1,7.2,14.9,.486,2.0,5.2,.390,5.2,9.7,.538,.555,3.8,4.1,.925,1.2,2.9,4.1,4.2,1.0,0.4,2.0,3.1,20.3,,2026
43,Brandon Miller,23,CHO,SF,58,58,30.2,7.0,16.2,.433,3.2,8.2,.389,3.8,7.9,.479,.532,3.1,3.5,.888,1.1,4.0,5.1,3.4,1.0,0.7,2.7,2.8,20.3,,2026
44,Bam Adebayo,28,MIA,C,66,66,32.1,7.0,15.9,.438,1.7,5.5,.310,5.3,10.4,.505,.491,4.5,5.8,.777,2.0,7.9,9.9,3.0,1.2,0.7,1.7,1.7,20.1,,2026
45,Jimmy Butler,36,GSW,SF,38,38,31.1,6.3,12.2,.519,0.8,2.2,.376,5.5,9.9,.552,.554,6.5,7.6,.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,,2026
46,Karl-Anthony Towns,30,NYK,C,70,70,30.9,6.8,13.8,.495,1.5,4.2,.366,5.3,9.6,.551,.551,4.8,5.6,.858,3.1,8.8,11.9,2.8,0.9,0.5,2.5,3.5,20.0,AS,2026
47,LaMelo Ball,24,CHO,PG,65,62,27.8,6.9,17.2,.403,3.7,10.0,.366,3.3,7.2,.455,.509,2.2,2.4,.898,0.9,3.9,4.8,7.0,1.2,0.2,2.8,2.7,19.7,,2026
48,Ty Jerome,28,MEM,SG,15,15,22.6,6.8,14.3,.474,2.8,6.7,.420,4.0,7.7,.522,.572,3.3,3.7,.875,0.7,2.1,2.8,5.7,1.1,0.3,1.8,2.1,19.7,,2026
49,Ja Morant,26,MEM,PG,20,20,28.5,6.6,16.1,.410,1.0,4.3,.235,5.6,11.9,.473,.441,5.3,5.9,.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,,2026
50,Jaren Jackson Jr.,26,2TM,C,48,48,30.3,7.1,15.0,.476,1.8,4.9,.357,5.4,10.1,.533,.534,3.4,4.2,.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,,2026
50,Jaren Jackson Jr.,26,MEM,C,45,45,30.7,7.1,14.9,.475,1.8,4.9,.359,5.3,10.0,.531,.534,3.3,4.2,.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,,2026
50,Jaren Jackson Jr.,26,UTA,C,3,3,24.0,8.0,16.3,.490,1.7,5.0,.333,6.3,11.3,.559,.541,4.7,5.3,.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,,2026
51,Jalen Duren,22,DET,C,64,64,28.0,7.4,11.5,.642,0.0,0.0,,7.4,11.5,.642,.642,4.5,6.1,.745,3.8,6.8,10.6,1.8,0.9,0.9,1.8,2.8,19.3,AS,2026
52,Zach LaVine,30,SAC,SG,39,37,31.4,6.7,14.0,.479,2.5,6.5,.390,4.2,7.5,.556,.569,3.2,3.6,.880,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,,2026
53,Darius Garland,26,2TM,PG,39,37,29.7,6.9,14.7,.471,2.8,6.8,.417,4.1,7.9,.518,.568,2.4,2.8,.861,0.4,1.9,2.4,6.9,0.9,0.1,3.0,1.6,19.1,,2026
53,Darius Garland,26,CLE,PG,26,26,30.5,6.5,14.5,.451,2.3,6.3,.360,4.3,8.2,.521,.529,2.6,3.0,.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,,2026
53,Darius Garland,26,LAC,PG,13,11,28.2,7.7,15.1,.510,4.0,7.8,.510,3.7,7.2,.511,.643,1.9,2.2,.862,0.4,1.8,2.2,7.0,1.1,0.2,3.3,1.2,21.3,,2026
54,RJ Barrett,25,TOR,SF,50,50,30.0,7.0,14.1,.495,1.7,5.0,.339,5.3,9.1,.581,.555,3.3,4.7,.708,0.9,4.3,5.3,3.3,0.8,0.3,1.7,2.6,19.0,,2026
55,Kon Knueppel,20,CHO,SF,74,73,31.6,6.5,13.4,.484,3.5,8.0,.433,3.0,5.4,.559,.614,2.5,2.9,.862,1.2,4.2,5.4,3.4,0.7,0.2,2.0,2.1,18.9,,2026
56,Bennedict Mathurin,23,2TM,SF,47,25,31.0,5.8,13.2,.436,1.5,4.7,.323,4.2,8.5,.500,.494,5.7,6.6,.868,1.0,4.6,5.6,2.3,0.8,0.3,2.2,2.7,18.8,,2026
56,Bennedict Mathurin,23,IND,SF,28,24,31.8,5.5,12.8,.433,2.1,5.6,.372,3.5,7.2,.480,.514,4.6,5.2,.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,,2026
56,Bennedict Mathurin,23,LAC,SF,19,1,29.7,6.1,13.8,.441,0.7,3.5,.209,5.4,10.3,.520,.468,7.4,8.6,.854,1.3,4.6,5.9,2.4,1.0,0.4,2.1,2.7,20.3,,2026
57,CJ McCollum,34,2TM,PG,70,54,29.8,6.9,15.2,.455,2.5,6.8,.369,4.4,8.4,.525,.538,2.5,3.3,.776,0.8,2.6,3.4,3.8,0.8,0.4,1.8,1.9,18.8,,2026
57,CJ McCollum,34,WAS,SG,35,35,30.9,6.9,15.1,.454,2.7,7.0,.393,4.1,8.1,.505,.544,2.3,2.9,.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,,2026
57,CJ McCollum,34,ATL,PG,35,19,28.6,6.9,15.2,.457,2.3,6.6,.343,4.7,8.6,.543,.531,2.7,3.6,.754,1.0,2.2,3.2,3.9,0.9,0.5,1.9,1.7,18.9,,2026
58,De'Aaron Fox,28,SAS,PG,64,64,31.1,7.1,14.6,.488,1.9,5.5,.339,5.3,9.1,.577,.551,2.7,3.5,.762,0.6,3.2,3.8,6.3,1.2,0.3,2.3,2.2,18.8,AS,2026
59,Scottie Barnes,24,TOR,PF,72,72,33.9,7.3,14.4,.507,0.9,2.9,.305,6.4,11.5,.559,.538,3.1,3.8,.830,2.0,5.8,7.7,5.8,1.4,1.5,2.6,2.8,18.6,AS,2026
60,Jerami Grant,31,POR,PF,57,38,29.7,5.8,12.8,.453,2.4,6.1,.389,3.4,6.7,.513,.547,4.6,5.6,.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,,2026
61,DeMar DeRozan,36,SAC,PF,74,74,31.6,6.5,13.1,.495,0.6,1.9,.310,5.9,11.2,.527,.518,4.9,5.7,.864,0.5,2.6,3.0,4.1,1.1,0.3,1.3,2.0,18.5,,2026
62,Jalen Green,23,PHO,SG,26,21,26.1,6.8,16.5,.416,2.4,7.6,.320,4.4,8.9,.498,.489,2.1,2.8,.743,0.5,3.3,3.7,2.9,1.0,0.1,2.1,1.2,18.2,,2026
63,Evan Mobley,24,CLE,PF,59,57,32.3,7.2,13.3,.540,1.0,3.4,.303,6.2,9.9,.622,.579,2.8,4.6,.604,2.4,6.5,8.9,3.6,0.8,1.8,1.9,2.5,18.2,,2026
64,Trae Young,27,2TM,PG,15,15,25.6,5.4,11.8,.458,1.8,5.3,.338,3.6,6.5,.557,.534,5.3,6.5,.825,0.3,1.7,2.0,8.0,0.9,0.1,2.6,2.2,17.9,,2026
64,Trae Young,27,ATL,PG,10,10,28.0,5.6,13.5,.415,1.8,5.9,.305,3.8,7.6,.500,.481,6.3,7.3,.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,,2026
64,Trae Young,27,WAS,PG,5,5,20.8,5.0,8.4,.595,1.8,4.2,.429,3.2,4.2,.762,.702,3.4,4.8,.708,0.8,2.2,3.0,6.2,0.6,0.2,2.6,2.6,15.2,,2026
65,Amen Thompson,23,HOU,PG,72,72,37.3,6.9,13.1,.523,0.3,1.5,.227,6.5,11.6,.562,.536,3.8,4.9,.777,3.0,4.8,7.9,5.2,1.5,0.6,2.4,2.2,17.9,,2026
66,Coby White,25,2TM,SG,44,26,26.0,5.7,12.8,.444,2.3,6.6,.353,3.4,6.2,.540,.535,3.9,4.8,.820,0.4,3.2,3.6,4.2,0.6,0.1,2.6,2.2,17.6,,2026
66,Coby White,25,CHI,SG,29,26,29.1,5.9,13.6,.438,2.5,7.2,.346,3.4,6.4,.541,.529,4.3,5.3,.805,0.2,3.5,3.7,4.7,0.7,0.1,3.0,2.4,18.6,,2026
66,Coby White,25,CHO,SG,15,0,19.9,5.2,11.3,.459,2.0,5.4,.370,3.2,5.9,.539,.547,3.3,3.8,.860,0.6,2.7,3.3,3.2,0.3,0.2,1.7,1.8,15.7,,2026
67,Saddiq Bey,26,NOP,SF,69,61,31.1,6.0,13.2,.452,2.1,5.7,.366,3.9,7.6,.516,.531,3.4,4.0,.845,1.7,3.9,5.6,2.6,0.9,0.1,1.0,1.3,17.4,,2026
68,Josh Giddey,23,CHI,PG,52,49,32.2,6.1,13.5,.450,1.9,5.3,.366,4.1,8.2,.505,.522,3.3,4.3,.772,1.3,7.1,8.4,9.2,1.1,0.5,3.7,1.7,17.4,,2026
69,Kevin Porter Jr.,25,MIL,PG,38,36,33.2,6.3,13.5,.465,1.2,3.8,.322,5.1,9.8,.520,.510,3.6,4.1,.878,0.9,4.3,5.2,7.4,2.2,0.5,2.9,2.3,17.4,,2026
70,Kristaps Porziņģis,30,2TM,C,28,19,23.9,5.6,12.4,.454,1.9,5.2,.366,3.7,7.2,.517,.530,4.2,5.1,.831,1.2,3.7,4.9,2.6,0.6,1.3,1.3,2.7,17.3,,2026
70,Kristaps Porziņģis,30,ATL,C,17,12,24.3,5.6,12.4,.457,1.8,5.1,.360,3.8,7.3,.524,.531,4.0,4.8,.840,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,,2026
70,Kristaps Porziņģis,30,GSW,C,11,7,23.2,5.5,12.4,.449,2.0,5.4,.373,3.5,7.0,.506,.529,4.5,5.5,.820,1.1,3.5,4.5,2.5,0.7,1.3,1.7,1.9,17.6,,2026
71,Grayson Allen,30,PHO,SG,46,26,29.5,5.6,13.7,.408,3.3,9.3,.356,2.3,4.3,.520,.529,2.8,3.3,.860,0.7,2.3,3.0,4.1,1.4,0.3,1.6,2.2,17.3,,2026
72,Dejounte Murray,29,NOP,PG,13,13,27.8,6.5,13.2,.488,1.5,4.6,.317,5.0,8.6,.580,.544,2.9,3.4,.864,0.2,4.9,5.2,6.5,1.6,0.2,3.2,2.5,17.3,,2026
73,Jalen Williams,24,OKC,SG,30,30,28.5,6.7,13.8,.482,0.7,2.4,.301,5.9,11.4,.520,.508,3.3,4.0,.824,0.8,3.7,4.5,5.3,1.2,0.3,1.9,2.0,17.3,,2026
74,Miles Bridges,27,CHO,PF,70,70,31.4,6.2,13.7,.451,1.9,5.9,.324,4.3,7.8,.547,.521,2.8,3.3,.829,0.9,4.9,5.8,3.2,0.6,0.4,1.4,1.7,17.1,,2026
75,Chet Holmgren,23,OKC,PF,64,64,29.3,6.3,11.4,.552,1.2,3.5,.348,5.0,7.9,.642,.605,3.4,4.2,.799,1.9,7.0,8.9,1.7,0.5,1.8,1.5,2.2,17.1,AS,2026
76,Derrick White,31,BOS,SG,70,70,34.3,5.9,15.0,.392,2.8,8.6,.323,3.1,6.4,.486,.485,2.6,2.9,.900,1.1,3.4,4.5,5.5,1.2,1.4,1.8,1.6,17.1,,2026
77,Payton Pritchard,28,BOS,PG,72,50,32.6,6.4,13.9,.459,2.6,7.2,.366,3.8,6.8,.558,.553,1.6,1.8,.886,0.9,3.2,4.1,5.2,0.8,0.1,1.4,1.5,17.0,,2026
78,Ryan Rollins,23,MIL,PG,71,64,32.0,6.5,13.8,.469,2.5,6.1,.406,4.0,7.7,.518,.558,1.6,2.1,.782,0.7,3.8,4.6,5.6,1.5,0.4,2.7,2.6,17.0,,2026
79,Andrew Nembhard,26,IND,PG,57,57,31.3,5.8,13.2,.442,1.9,5.2,.361,4.0,8.0,.495,.513,3.4,4.1,.825,0.4,2.4,2.8,7.7,0.9,0.1,2.4,2.2,16.9,,2026
80,Immanuel Quickley,26,TOR,PG,67,67,32.4,5.9,13.2,.445,2.6,6.9,.374,3.3,6.3,.523,.543,2.5,3.1,.821,0.5,3.5,4.1,6.0,1.3,0.1,1.5,2.0,16.9,,2026
81,OG Anunoby,28,NYK,PF,61,61,33.2,5.9,12.0,.486,2.2,5.9,.380,3.6,6.1,.588,.579,2.7,3.3,.818,1.3,3.8,5.1,2.2,1.6,0.7,1.9,2.5,16.7,,2026
82,Paul George,35,PHI,PF,29,29,30.6,5.9,13.6,.430,2.6,6.8,.386,3.2,6.8,.475,.527,2.4,2.8,.852,0.6,4.9,5.4,3.7,1.7,0.5,1.6,2.3,16.7,,2026
83,Stephon Castle,21,SAS,PG,62,61,29.6,5.6,12.0,.471,1.1,3.5,.318,4.5,8.4,.536,.518,4.2,5.7,.734,1.4,3.8,5.1,7.2,1.2,0.3,3.2,3.3,16.6,,2026
84,Aaron Gordon,30,DEN,PF,32,29,27.6,5.6,11.2,.501,1.7,4.3,.399,3.9,6.9,.566,.578,3.7,4.8,.765,1.5,4.5,5.9,2.5,0.6,0.3,1.1,1.6,16.6,,2026
85,Matas Buzelis,21,CHI,PF,73,73,29.3,5.8,12.5,.466,2.3,6.4,.359,3.5,6.1,.578,.558,2.4,3.1,.788,1.1,4.7,5.7,2.0,0.7,1.5,2.0,2.3,16.4,,2026
86,Alex Sarr,20,WAS,C,48,48,27.2,6.6,13.7,.482,1.0,3.1,.333,5.5,10.5,.526,.520,2.1,3.0,.692,2.2,5.2,7.4,2.7,0.8,2.0,1.7,2.2,16.3,,2026
87,VJ Edgecombe,20,PHI,SG,67,67,34.9,6.0,13.8,.434,2.1,5.7,.360,3.9,8.1,.487,.509,2.0,2.5,.825,1.6,4.0,5.7,4.0,1.4,0.5,1.8,2.9,16.1,,2026
88,Jrue Holiday,35,POR,PG,47,45,28.9,5.9,12.9,.457,2.4,6.4,.381,3.4,6.5,.533,.552,1.6,1.9,.824,1.3,3.1,4.4,6.1,1.1,0.1,2.7,1.4,15.8,,2026
89,Domantas Sabonis,29,SAC,C,19,15,29.7,6.3,11.6,.543,0.3,1.4,.185,6.1,10.2,.593,.554,2.9,4.1,.727,3.4,8.0,11.4,4.1,0.9,0.2,2.7,3.5,15.8,,2026
90,Nikola Vučević,35,2TM,C,60,49,29.0,6.4,12.8,.496,1.6,4.3,.373,4.8,8.6,.557,.558,1.3,1.5,.835,2.0,6.6,8.6,3.4,0.6,0.7,1.3,2.0,15.6,,2026
90,Nikola Vučević,35,CHI,C,48,48,30.8,6.9,13.8,.505,1.7,4.5,.376,5.2,9.2,.568,.567,1.3,1.5,.838,2.1,6.9,9.0,3.8,0.7,0.6,1.4,2.0,16.9,,2026
90,Nikola Vučević,35,BOS,C,12,1,21.7,4.1,9.2,.445,1.1,3.1,.351,3.0,6.1,.493,.505,1.2,1.4,.824,1.7,5.5,7.2,1.8,0.4,0.8,0.9,1.8,10.4,,2026
91,Jabari Smith Jr.,22,HOU,PF,70,70,35.2,5.6,12.5,.451,2.2,6.2,.358,3.4,6.3,.542,.539,2.1,2.7,.774,1.5,5.4,6.9,1.9,0.8,0.9,1.4,2.5,15.6,,2026
92,Andrew Wiggins,30,MIA,SF,61,61,30.6,5.9,12.4,.475,2.0,4.9,.407,3.9,7.5,.520,.556,1.9,2.3,.790,1.7,3.2,5.0,2.7,1.1,1.0,1.5,2.3,15.6,,2026
93,Naji Marshall,28,DAL,SF,71,44,29.7,5.7,11.1,.516,0.9,2.9,.295,4.9,8.2,.595,.555,3.1,4.1,.764,0.9,3.8,4.7,3.3,1.1,0.1,1.6,1.9,15.5,,2026
94,Jarrett Allen,27,CLE,C,52,52,27.4,6.0,9.4,.640,0.0,0.2,.100,6.0,9.3,.651,.641,3.2,4.4,.727,2.6,5.9,8.5,1.9,1.0,0.9,1.3,1.8,15.3,,2026
95,Anthony Black,22,ORL,PG,60,40,30.7,5.5,12.3,.451,1.6,4.7,.339,3.9,7.6,.521,.516,2.6,3.6,.730,0.7,3.1,3.9,3.8,1.4,0.7,2.1,2.7,15.3,,2026
96,Onyeka Okongwu,25,ATL,C,68,57,31.0,5.7,11.7,.484,2.0,5.2,.378,3.7,6.5,.568,.567,2.0,2.7,.753,1.9,5.8,7.6,3.2,1.1,1.1,1.7,3.4,15.3,,2026
97,Russell Westbrook,37,SAC,SF,64,58,29.0,5.6,13.1,.427,2.0,5.9,.338,3.6,7.2,.500,.503,2.0,2.9,.694,1.3,4.2,5.4,6.7,1.3,0.2,3.3,2.3,15.2,,2026
98,Collin Sexton,27,2TM,SG,60,16,23.0,5.1,10.4,.487,1.6,4.0,.401,3.4,6.3,.542,.565,3.3,3.9,.858,0.5,1.6,2.0,3.3,1.0,0.2,2.1,2.0,15.0,,2026
98,Collin Sexton,27,CHO,SG,42,12,22.3,4.8,9.9,.488,1.4,3.5,.393,3.5,6.4,.539,.557,3.2,3.7,.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2,,2026
98,Collin Sexton,27,CHI,SG,18,4,24.6,5.6,11.6,.486,2.2,5.4,.412,3.4,6.2,.550,.582,3.6,4.3,.821,0.6,1.7,2.3,2.4,1.3,0.1,1.9,2.4,17.0,,2026
99,Jaime Jaquez Jr.,24,MIA,SF,68,1,28.2,6.0,12.0,.500,0.7,2.3,.299,5.3,9.7,.547,.528,2.3,3.0,.760,1.3,3.8,5.0,4.7,0.7,0.3,2.0,1.9,15.0,,2026
100,Kyshawn George,22,WAS,SF,48,48,29.0,5.3,12.0,.438,2.1,5.4,.381,3.2,6.6,.486,.524,2.2,2.7,.802,0.9,4.2,5.1,4.5,1.0,0.9,2.6,3.5,14.8,,2026
101,Jaden McDaniels,25,MIN,PF,71,71,31.9,5.6,10.9,.518,1.4,3.4,.421,4.2,7.5,.562,.584,2.1,2.5,.839,1.0,3.2,4.2,2.7,1.1,1.0,1.8,3.4,14.8,,2026
