0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
24,Los Angeles Clippers,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,.335,.182,.516,,.467,14.8,29.1,.252,,.481,13.1,70.2,.222,,STAPLES Center,"706,471","17,231",2003
25,Chicago Bulls,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,.300,.148,.512,,.471,15.4,27.7,.217,,.470,13.3,69.5,.263,,United Center,"804,309","19,617",2003
26,Miami Heat,26.5,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,.259,.169,.483,,.439,13.8,26.8,.198,,.470,14.1,73.9,.257,,AmericanAirlines Arena,"628,242","15,323",2003
27,Toronto Raptors,27.6,24,58,24,58,-5.87,-0.23,-6.10,100.5,107.0,-6.5,89.9,.282,.179,.497,,.458,13.6,28.2,.203,,.489,13.1,70.7,.226,,Air Canada Centre,"777,507","18,964",2003
28,Denver Nuggets,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,.283,.126,.469,,.428,17.1,31.3,.198,,.477,16.5,73.3,.290,,Pepsi Center,"607,813","14,825",2003
29,Cleveland Cavaliers,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,.298,.133,.491,,.444,16.4,31.0,.223,,.484,13.0,73.2,.252,,Gund Arena,"471,374","11,497",2003
,League Average,27.2,,,41,41,0.00,0.00,0.00,103.6,103.6,,91.0,.302,.182,.519,,.474,14.0,28.5,.229,,.474,14.0,71.5,.229,,,"692,220","16,883",2003
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2004
1,San Antonio Spurs*,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,+8.1,89.2,.322,.177,.511,,.473,14.1,29.5,.219,,.433,14.8,74.6,.215,,SBC Center,"739,706","18,042",2004
2,Detroit Pistons*,27.4,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,+6.6,87.9,.328,.153,.511,,.461,14.7,30.1,.247,,.441,15.5,71.8,.202,,The Palace of Auburn Hills,"872,902","21,290",2004
3,Indiana Pacers*,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,+6.6,87.5,.319,.203,.520,,.471,14.1,28.5,.243,,.459,15.7,73.9,.218,,Conseco Fieldhouse,"678,326","16,545",2004
4,Minnesota Timberwolves*,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,+6.2,89.0,.265,.137,.528,,.486,12.4,26.7,.207,,.444,12.9,72.5,.215,,Target Center,"723,071","17,636",2004
5,Sacramento Kings*,29.3,55,27,55,27,5.01,0.40,5.41,110.3,104.9,+5.4,92.8,.305,.223,.554,,.507,13.0,26.0,.242,,.483,13.7,69.8,.193,,ARCO Arena (II),"709,997","17,317",2004
6,Dallas Mavericks*,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,+4.7,93.2,.256,.201,.536,,.495,11.1,31.4,.204,,.498,13.9,71.6,.214,,American Airlines Center,"825,594","20,136",2004
7,Los Angeles Lakers*,29.8,56,26,52,30,3.90,0.45,4.35,105.5,101.3,+4.2,92.3,.352,.167,.522,,.481,12.8,28.1,.244,,.471,14.3,73.3,.222,,STAPLES Center,"777,757","18,970",2004
8,New Jersey Nets*,27.7,47,35,49,33,2.50,-0.63,1.88,100.8,98.0,+2.8,89.4,.291,.176,.515,,.471,14.4,25.9,.219,,.460,15.7,73.9,.221,,Continental Airlines Arena,"613,051","14,952",2004
9,Memphis Grizzlies*,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,+2.6,91.4,.322,.197,.522,,.479,13.9,29.5,.234,,.465,15.7,68.4,.251,,Pyramid Arena,"622,723","15,188",2004
10,Houston Rockets*,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99.0,+1.9,87.8,.286,.227,.528,,.484,16.4,26.5,.221,,.447,13.1,74.5,.233,,Toyota Center,"640,794","15,629",2004
11,Denver Nuggets*,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,+1.2,93.3,.319,.146,.517,,.467,14.2,30.5,.245,,.481,15.6,69.3,.221,,Pepsi Center,"721,476","17,597",2004
12,Milwaukee Bucks*,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,+1.1,91.6,.330,.172,.528,,.477,12.7,27.6,.255,,.485,13.3,71.8,.213,,Bradley Center,"690,180","16,834",2004
13,Miami Heat*,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,+0.5,88.0,.298,.211,.510,,.463,13.5,27.4,.227,,.463,14.5,73.4,.260,,AmericanAirlines Arena,"624,809","15,239",2004
14,New Orleans Hornets*,30.3,41,41,41,41,-0.10,-0.62,-0.72,102.3,102.4,-0.1,89.1,.293,.252,.505,,.460,14.1,30.6,.220,,.476,15.0,71.3,.218,,New Orleans Arena,"587,613","14,332",2004
15,Seattle SuperSonics,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,.270,.294,.540,,.501,13.9,27.2,.207,,.487,13.9,68.5,.237,,KeyArena at Seattle Center,"625,474","15,154",2004
16,Golden State Warriors,28.1,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,.311,.197,.517,,.475,14.1,28.4,.226,,.476,13.3,72.1,.211,,The Arena in Oakland,"665,648","16,235",2004
17,Portland Trail Blazers,27.6,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,.267,.170,.515,,.478,14.4,31.2,.195,,.482,13.3,70.0,.186,,Rose Garden Arena,"684,038","16,684",2004
18,Utah Jazz,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,.356,.127,.509,,.456,16.1,34.1,.266,,.468,15.4,72.4,.319,,Delta Center,"785,330","19,154",2004
19,Boston Celtics*,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,.327,.249,.532,,.486,15.4,25.2,.245,,.479,15.7,69.5,.240,,FleetCenter,"664,248","16,201",2004
20,New York Knicks*,29.6,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,.266,.171,.518,,.474,15.1,28.0,.211,,.461,13.2,72.8,.259,,Madison Square Garden (IV),"785,739","19,164",2004
21,Philadelphia 76ers,27.5,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,.321,.158,.505,,.456,15.5,28.2,.242,,.467,14.7,70.7,.231,,Wachovia Center,"788,128","19,223",2004
22,Cleveland Cavaliers,24.9,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,.301,.116,.498,,.451,13.7,31.1,.226,,.469,12.3,73.0,.221,,Gund Arena,"749,790","18,288",2004
23,Toronto Raptors,27.6,33,49,31,51,-3.01,-0.40,-3.42,97.0,100.4,-3.4,86.8,.260,.204,.495,,.454,14.1,23.8,.195,,.449,14.1,70.1,.241,,Air Canada Centre,"750,608","18,308",2004
24,Phoenix Suns,24.4,29,53,30,52,-3.74,0.80,-2.94,101.4,105.5,-4.1,92.6,.280,.180,.515,,.475,14.3,26.6,.209,,.482,14.7,69.9,.240,,America West Arena,"670,385","16,351",2004
25,Los Angeles Clippers,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,.350,.156,.512,,.453,15.0,32.8,.275,,.494,12.9,70.0,.231,,STAPLES Center,"665,396","16,143",2004
26,Atlanta Hawks,26.2,28,54,28,54,-4.65,-0.36,-5.00,101.0,106.1,-5.1,90.8,.303,.191,.514,,.465,15.4,28.6,.235,,.476,13.1,70.5,.234,,Philips Arena,"565,728","13,798",2004
27,Washington Wizards,24.4,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,.337,.194,.500,,.454,16.0,30.7,.241,,.486,14.9,69.5,.214,,MCI Center,"645,363","15,741",2004
28,Chicago Bulls,26.8,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,.272,.186,.486,,.446,14.9,28.1,.197,,.469,14.1,71.4,.253,,United Center,"809,177","19,736",2004
29,Orlando Magic,25.8,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,.296,.184,.504,,.461,12.8,28.1,.218,,.502,12.7,68.7,.214,,TD Waterhouse Centre,"589,144","14,369",2004
,League Average,27.2,,,41,41,0.00,0.00,0.00,102.9,102.9,,90.1,.303,.187,.516,,.471,14.2,28.6,.228,,.471,14.2,71.4,.228,,,"699,041","17,046",2004
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2005
1,San Antonio Spurs*,28.5,59,23,63,19,7.80,0.03,7.84,107.5,98.8,+8.7,88.9,.329,.216,.534,,.492,13.2,29.1,.238,,.452,14.7,73.6,.236,,SBC Center,"750,970","18,316",2005
2,Phoenix Suns*,25.2,62,20,59,23,7.12,-0.04,7.08,114.5,107.1,+7.4,95.9,.296,.289,.571,,.534,12.4,27.5,.222,,.478,12.0,68.3,.176,,America West Arena,"726,066","17,709",2005
3,Miami Heat*,28.0,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,+7.1,90.8,.387,.198,.559,,.524,13.1,27.0,.260,,.460,12.4,74.1,.242,,AmericanAirlines Arena,"815,143","19,882",2005
4,Dallas Mavericks*,27.7,58,24,57,25,5.74,0.11,5.86,110.3,104.1,+6.2,92.7,.346,.190,.545,,.492,12.5,28.6,.273,,.472,14.3,70.2,.239,,American Airlines Center,"822,533","20,062",2005
5,Houston Rockets*,29.7,51,31,53,29,4.04,0.23,4.27,106.2,101.7,+4.5,88.8,.309,.237,.534,,.486,13.5,26.3,.242,,.459,12.9,74.5,.245,,Toyota Center,"663,444","16,182",2005
6,Detroit Pistons*,27.9,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,+4.4,87.2,.335,.164,.519,,.472,13.3,31.2,.247,,.461,13.5,73.0,.207,,The Palace of Auburn Hills,"905,116","22,076",2005
7,Seattle SuperSonics*,26.0,52,30,48,34,2.29,0.30,2.59,112.2,109.6,+2.6,87.9,.328,.281,.546,,.495,13.0,32.4,.259,,.496,12.9,71.3,.249,,KeyArena at Seattle Center,"675,490","16,475",2005
8,Memphis Grizzlies*,26.3,45,37,48,34,2.29,0.34,2.64,105.5,102.9,+2.6,88.5,.323,.237,.535,,.489,14.3,27.1,.243,,.466,15.4,69.9,.270,,FedEx Forum,"691,362","16,862",2005
9,Sacramento Kings*,27.7,50,32,47,35,2.16,0.40,2.56,110.5,108.2,+2.3,93.0,.287,.200,.541,,.496,12.0,28.8,.226,,.493,13.3,69.0,.214,,ARCO Arena (II),"709,997","17,317",2005
10,Denver Nuggets*,26.7,49,33,47,35,2.02,0.20,2.23,106.0,103.9,+2.1,93.5,.350,.142,.535,,.483,13.8,28.4,.267,,.482,15.1,71.7,.247,,Pepsi Center,"723,949","17,657",2005
11,Minnesota Timberwolves,29.0,44,38,45,37,1.45,0.28,1.73,108.2,106.6,+1.6,89.1,.275,.173,.534,,.489,12.7,28.6,.219,,.472,11.2,71.4,.208,,Target Center,"704,438","17,181",2005
12,Chicago Bulls*,25.0,47,35,44,38,1.06,-0.41,0.65,101.4,100.3,+1.1,92.4,.311,.217,.517,,.471,15.5,28.4,.233,,.454,14.4,72.6,.262,,United Center,"828,384","20,204",2005
13,Boston Celtics*,27.1,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,+0.9,93.3,.357,.192,.551,,.501,14.7,27.2,.273,,.481,14.2,70.1,.274,,FleetCenter,"656,081","16,002",2005
14,Cleveland Cavaliers,26.5,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,+0.9,89.7,.325,.135,.518,,.470,13.0,32.5,.244,,.485,14.1,71.5,.248,,Gund Arena,"784,249","19,128",2005
15,Indiana Pacers*,28.3,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,+0.9,87.2,.358,.255,.534,,.476,14.1,26.4,.283,,.472,13.6,71.3,.261,,Conseco Fieldhouse,"696,764","16,994",2005
16,Washington Wizards*,25.3,45,37,40,42,-0.33,-0.38,-0.71,107.2,107.5,-0.3,93.3,.364,.220,.523,,.474,12.9,31.1,.264,,.498,14.6,70.0,.230,,MCI Center,"705,069","17,197",2005
17,Philadelphia 76ers*,26.4,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,-0.8,94.9,.326,.216,.528,,.475,14.2,25.4,.257,,.485,15.4,72.7,.267,,Wachovia Center,"732,686","17,870",2005
18,Los Angeles Clippers,25.5,37,45,39,43,-0.77,0.30,-0.47,105.5,106.4,-0.9,89.1,.357,.105,.533,,.477,14.9,30.3,.278,,.480,13.0,71.3,.235,,STAPLES Center,"696,181","16,980",2005
19,New Jersey Nets*,27.8,42,40,36,46,-1.50,-0.32,-1.82,101.4,103.1,-1.7,89.1,.318,.187,.512,,.463,13.7,25.5,.242,,.479,15.2,73.2,.278,,Continental Airlines Arena,"618,681","15,090",2005
20,Toronto Raptors,27.0,33,49,36,46,-1.62,-0.19,-1.81,106.9,108.7,-1.8,92.7,.316,.253,.539,,.492,12.5,23.7,.244,,.499,13.4,71.1,.240,,Air Canada Centre,"703,388","17,156",2005
21,Golden State Warriors,26.7,34,48,35,47,-2.16,0.42,-1.74,104.7,106.9,-2.2,93.3,.278,.252,.512,,.475,12.3,27.8,.201,,.491,13.9,69.7,.227,,Oakland Arena,"670,368","16,350",2005
22,Orlando Magic,26.5,36,46,35,47,-2.24,-0.27,-2.52,104.9,107.3,-2.4,94.7,.350,.137,.529,,.478,14.6,29.9,.265,,.484,13.2,71.3,.255,,TD Waterhouse Centre,"597,942","14,584",2005
23,New York Knicks,27.3,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,-2.7,90.7,.312,.188,.531,,.485,13.8,28.3,.239,,.501,13.8,71.2,.265,,Madison Square Garden (IV),"800,144","19,516",2005
24,Milwaukee Bucks,26.9,30,52,32,50,-2.99,-0.10,-3.09,106.6,109.8,-3.2,90.8,.339,.141,.527,,.475,13.0,29.0,.261,,.499,12.4,72.0,.233,,Bradley Center,"637,009","15,537",2005
25,Los Angeles Lakers,26.0,34,48,33,49,-2.96,0.64,-2.32,108.1,111.4,-3.3,90.8,.322,.273,.535,,.485,13.4,29.5,.251,,.493,11.0,71.1,.218,,STAPLES Center,"770,494","18,793",2005
26,Portland Trail Blazers,27.0,27,55,29,53,-4.00,0.55,-3.45,103.2,107.7,-4.5,89.8,.303,.181,.524,,.484,15.2,29.6,.219,,.479,12.6,67.7,.204,,Rose Garden Arena,"680,374","16,594",2005
27,Utah Jazz,25.7,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,-4.8,88.4,.361,.121,.522,,.469,15.0,31.9,.273,,.499,14.2,72.3,.340,,Delta Center,"769,014","18,756",2005
28,Charlotte Bobcats,24.9,18,64,24,58,-5.99,-0.16,-6.15,101.1,107.5,-6.4,92.3,.306,.128,.497,,.455,13.3,29.5,.217,,.497,14.7,70.9,.269,,Charlotte Coliseum,"591,701","14,432",2005
29,New Orleans Hornets,27.5,18,64,21,61,-7.07,0.78,-6.30,99.7,107.7,-8.0,87.6,.279,.201,.493,,.446,14.2,29.1,.214,,.491,13.9,70.7,.261,,New Orleans Arena,"583,070","14,221",2005
30,Atlanta Hawks,26.0,13,69,16,66,-9.71,0.09,-9.62,100.6,111.1,-10.5,91.4,.299,.146,.504,,.464,14.9,30.7,.212,,.513,14.0,72.1,.289,,Philips Arena,"586,390","14,302",2005
,League Average,27.1,,,41,41,0.00,0.00,0.00,106.1,106.1,,90.9,.324,.196,.529,,.482,13.6,28.7,.245,,.482,13.6,71.3,.245,,,"709,883","17,314",2005
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2006
1,San Antonio Spurs*,29.8,63,19,61,21,6.82,-0.13,6.69,107.3,99.6,+7.7,88.5,.298,.215,.546,,.513,13.6,26.0,.209,,.457,13.5,74.2,.220,,SBC Center,"770,677","18,797",2006
2,Detroit Pistons*,28.5,64,18,60,22,6.67,-0.44,6.24,110.8,103.1,+7.7,86.8,.297,.221,.535,,.497,11.2,28.9,.216,,.477,13.7,71.2,.191,,The Palace of Auburn Hills,"905,116","22,076",2006
3,Dallas Mavericks*,27.5,60,22,58,24,6.07,-0.11,5.96,111.8,105.0,+6.8,87.8,.364,.175,.550,,.495,13.1,31.8,.285,,.475,13.7,72.2,.257,,American Airlines Center,"824,693","20,114",2006
4,Phoenix Suns*,27.5,54,28,55,27,5.55,-0.07,5.48,111.5,105.8,+5.7,95.8,.206,.293,.568,,.537,12.2,22.1,.166,,.490,13.2,72.1,.200,,America West Arena,"730,179","17,809",2006
5,Memphis Grizzlies*,28.1,49,33,52,30,3.70,0.05,3.74,105.9,101.6,+4.3,86.3,.339,.258,.537,,.496,13.9,25.8,.241,,.469,14.7,72.0,.237,,FedEx Forum,"647,533","15,793",2006
6,Miami Heat*,29.2,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,+4.2,91.6,.363,.227,.556,,.517,13.9,26.7,.254,,.477,12.4,76.4,.251,,AmericanAirlines Arena,"818,149","19,955",2006
7,Los Angeles Lakers*,25.1,45,37,48,34,2.50,0.03,2.53,108.4,105.7,+2.7,90.9,.329,.240,.539,,.495,13.1,28.8,.245,,.486,13.4,73.6,.242,,STAPLES Center,"774,189","18,883",2006
8,Cleveland Cavaliers*,27.1,50,32,48,34,2.23,-0.06,2.17,107.8,105.4,+2.4,89.8,.362,.228,.538,,.492,13.3,28.4,.263,,.490,12.8,75.7,.226,,Gund Arena,"792,391","19,327",2006
9,Indiana Pacers*,27.3,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,+2.1,89.7,.344,.245,.533,,.487,14.8,27.1,.254,,.464,13.0,72.6,.232,,Conseco Fieldhouse,"663,368","16,180",2006
10,Washington Wizards*,26.5,42,40,46,36,1.85,-0.29,1.57,109.3,107.3,+2.0,92.3,.375,.209,.538,,.484,12.8,29.5,.284,,.504,15.1,70.9,.256,,MCI Center,"705,062","17,197",2006
11,Sacramento Kings*,27.2,44,38,45,37,1.54,0.07,1.61,106.7,105.0,+1.7,91.9,.334,.217,.544,,.492,13.9,25.4,.262,,.488,13.7,72.2,.210,,ARCO Arena (II),"709,997","17,317",2006
12,Los Angeles Clippers*,26.8,47,35,46,36,1.57,0.18,1.75,105.3,103.6,+1.7,91.7,.332,.131,.540,,.487,13.8,25.4,.263,,.471,12.2,75.9,.240,,STAPLES Center,"712,409","17,376",2006
13,New Jersey Nets*,28.6,49,33,45,37,1.37,-0.26,1.11,103.9,102.4,+1.5,89.8,.346,.229,.528,,.478,13.3,24.0,.262,,.476,14.0,76.3,.266,,Continental Airlines Arena,"691,543","16,867",2006
14,Chicago Bulls*,24.1,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,+0.6,92.9,.292,.219,.527,,.487,13.9,26.3,.216,,.464,13.9,74.7,.295,,United Center,"868,720","21,188",2006
15,Denver Nuggets*,27.4,44,38,42,40,0.23,0.13,0.36,105.5,105.2,+0.3,93.9,.347,.161,.535,,.488,13.7,26.8,.258,,.493,14.7,72.0,.227,,Pepsi Center,"702,555","17,135",2006
16,Milwaukee Bucks*,25.5,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,.322,.203,.535,,.492,13.8,27.3,.238,,.504,13.8,74.6,.262,,Bradley Center,"681,337","16,618",2006
17,Orlando Magic,25.5,36,46,38,44,-1.07,-0.18,-1.26,106.3,107.5,-1.2,88.3,.369,.129,.543,,.496,14.7,28.5,.270,,.490,13.0,72.5,.264,,TD Waterhouse Centre,"638,005","15,561",2006
18,Golden State Warriors,25.6,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,-1.4,93.3,.323,.270,.521,,.479,13.0,26.9,.232,,.492,14.1,71.6,.243,,Oakland Arena,"749,185","18,273",2006
19,Houston Rockets,28.8,34,48,36,46,-1.59,0.28,-1.30,101.6,103.3,-1.7,88.0,.317,.226,.519,,.471,14.3,25.5,.240,,.472,13.1,74.6,.247,,Toyota Center,"636,110","15,515",2006
20,Boston Celtics,25.3,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,-1.7,92.2,.349,.204,.551,,.504,15.7,25.5,.263,,.490,13.8,72.8,.282,,TD Banknorth Garden,"692,873","16,899",2006
21,Minnesota Timberwolves,26.7,33,49,35,47,-1.88,0.13,-1.75,102.4,104.5,-2.1,88.8,.299,.149,.524,,.480,14.2,25.2,.226,,.475,13.4,71.3,.236,,Target Center,"662,167","16,150",2006
22,Philadelphia 76ers,26.5,38,44,35,47,-1.95,-0.15,-2.10,106.0,108.1,-2.1,92.7,.356,.158,.538,,.487,13.3,25.6,.270,,.500,14.3,71.3,.240,,Wachovia Center,"677,278","16,519",2006
23,Utah Jazz,25.6,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,-2.9,87.8,.397,.149,.519,,.467,15.0,32.4,.286,,.490,14.0,73.2,.303,,Delta Center,"751,621","18,332",2006
24,New Orleans/Oklahoma City Hornets,26.3,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,-3.1,89.0,.339,.138,.515,,.464,12.9,26.9,.257,,.502,14.3,73.4,.243,,Ford Center,"744,920","18,717",2006
25,Toronto Raptors,25.9,27,55,33,49,-2.99,-0.04,-3.03,109.5,112.7,-3.2,91.1,.315,.244,.548,,.500,12.4,25.4,.249,,.530,13.5,73.3,.263,,Air Canada Centre,"699,332","17,057",2006
26,Seattle SuperSonics,25.6,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,-3.3,91.6,.314,.243,.551,,.504,13.7,30.4,.246,,.527,13.6,69.0,.260,,KeyArena at Seattle Center,"664,157","16,199",2006
27,Charlotte Bobcats,25.2,26,56,30,52,-4.00,0.10,-3.90,102.5,106.7,-4.2,93.4,.319,.184,.509,,.464,13.0,27.1,.233,,.514,16.5,70.7,.263,,Charlotte Bobcats Arena,"671,011","16,366",2006
28,Atlanta Hawks,22.7,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,-5.2,90.4,.340,.178,.534,,.486,14.7,31.4,.255,,.513,14.1,69.5,.275,,Philips Arena,"617,817","15,069",2006
29,New York Knicks,25.6,23,59,24,58,-6.40,0.11,-6.30,104.0,111.0,-7.0,90.8,.417,.142,.534,,.481,16.5,31.2,.303,,.511,13.4,72.8,.294,,Madison Square Garden (IV),"776,176","18,931",2006
30,Portland Trail Blazers,24.6,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,-10.8,87.6,.310,.166,.511,,.474,14.5,26.6,.214,,.507,12.6,68.2,.231,,Rose Garden Arena,"617,019","15,049",2006
,League Average,26.6,,,41,41,0.00,0.00,0.00,106.2,106.2,,90.5,.333,.202,.536,,.490,13.7,27.3,.248,,.490,13.7,72.7,.248,,,"719,853","17,571",2006
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2007
1,San Antonio Spurs*,30.4,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,+9.3,89.8,.313,.247,.561,,.521,13.6,24.2,.235,,.471,14.0,75.7,.201,,AT&T Center,"764,823","18,654",2007
2,Dallas Mavericks*,28.1,67,15,61,21,7.22,0.06,7.28,111.3,103.2,+8.1,89.5,.317,.218,.559,,.509,13.4,28.7,.256,,.477,14.2,75.0,.265,,American Airlines Center,"834,411","20,351",2007
3,Phoenix Suns*,27.6,61,21,59,23,7.30,-0.03,7.28,113.9,106.4,+7.5,95.6,.267,.287,.590,,.551,13.4,22.7,.215,,.492,13.6,71.9,.206,,US Airways Center,"755,302","18,422",2007
4,Chicago Bulls*,26.0,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,+5.3,93.6,.313,.186,.534,,.493,14.7,28.6,.229,,.473,16.2,74.3,.252,,United Center,"912,364","22,253",2007
5,Houston Rockets*,28.2,52,30,55,27,4.85,0.19,5.04,106.0,100.7,+5.3,90.7,.292,.290,.540,,.499,13.6,25.7,.220,,.466,13.6,77.0,.230,,Toyota Center,"678,362","16,545",2007
6,Detroit Pistons*,29.0,53,29,53,29,4.16,-0.47,3.69,108.9,104.2,+4.7,87.3,.307,.201,.535,,.488,12.0,28.3,.237,,.477,14.3,70.9,.234,,The Palace of Auburn Hills,"905,116","22,076",2007
7,Cleveland Cavaliers*,26.9,50,32,52,30,3.83,-0.50,3.33,105.5,101.3,+4.2,90.8,.320,.211,.522,,.484,13.4,29.7,.223,,.480,14.7,75.8,.243,,Quicken Loans Arena,"837,883","20,436",2007
8,Utah Jazz*,25.9,51,31,49,33,2.87,0.20,3.06,110.1,107.0,+3.1,91.6,.380,.163,.551,,.502,14.5,31.7,.283,,.496,14.4,75.1,.314,,EnergySolutions Arena,"802,214","19,566",2007
9,Denver Nuggets*,26.5,45,37,45,37,1.62,0.07,1.69,107.6,105.9,+1.7,97.4,.360,.212,.548,,.501,14.6,28.9,.268,,.499,14.5,71.8,.203,,Pepsi Center,"706,437","17,230",2007
10,Toronto Raptors*,26.0,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,+1.0,92.6,.303,.224,.550,,.504,13.0,22.2,.239,,.503,14.3,74.5,.219,,Air Canada Centre,"748,603","18,259",2007
11,Orlando Magic*,25.6,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,+0.8,89.9,.393,.158,.544,,.500,16.3,29.3,.276,,.480,14.6,73.7,.286,,Amway Arena,"700,887","17,095",2007
12,Los Angeles Lakers*,25.3,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,.333,.259,.554,,.511,14.3,26.1,.249,,.500,13.5,72.3,.262,,STAPLES Center,"778,415","18,986",2007
13,Golden State Warriors*,24.6,42,40,40,42,-0.34,0.34,0.00,107.0,107.4,-0.4,99.2,.300,.279,.548,,.512,14.1,25.6,.215,,.506,16.1,69.6,.264,,Oracle Arena,"742,267","18,104",2007
14,Washington Wizards*,26.8,41,41,40,42,-0.51,-0.28,-0.80,110.1,110.6,-0.5,94.1,.356,.237,.542,,.491,12.6,28.1,.272,,.517,14.4,71.0,.249,,Verizon Center,"753,283","18,373",2007
15,Los Angeles Clippers,27.5,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,.355,.143,.537,,.481,14.5,27.2,.280,,.488,13.3,74.7,.249,,STAPLES Center,"755,261","18,421",2007
16,New Jersey Nets*,28.2,41,41,39,43,-0.77,-0.23,-1.00,105.7,106.6,-0.9,91.4,.338,.263,.546,,.504,14.2,24.6,.245,,.490,13.7,74.4,.266,,Continental Airlines Arena,"693,955","16,926",2007
17,Miami Heat*,29.3,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,.321,.245,.541,,.506,14.3,24.9,.222,,.485,13.8,73.3,.232,,AmericanAirlines Arena,"808,541","19,721",2007
18,New Orleans/Oklahoma City Hornets,26.4,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,.291,.188,.520,,.479,13.6,29.1,.215,,.499,13.2,74.7,.212,,Ford Center,"731,165","17,954",2007
